country_name,2016,2017,2018,2019,2020,2021,2022,2023,2024
India,4.5,3.6,3.4,4.8,6.2,5.5,6.7,5.5,4.6
Indonesia,3.5,3.8,3.3,2.8,2,1.6,4.2,3.6,2.5
Iran,9.1,9.6,30.2,34.7,36.4,40.2,45.8,47,32.5
Iraq,0.5,0.2,0.4,-0.2,0.6,6,5,5.3,3.6
Ireland,-0.2,0.3,0.7,0.9,-0.5,2.4,8.1,5.2,3
Israel,-0.5,0.2,0.8,0.8,-0.6,1.5,4.4,4.3,3
Italy,-0.1,1.3,1.2,0.6,-0.1,1.9,8.7,6,2.6
Jamaica,2.3,4.4,3.7,3.9,5.2,5.9,10.3,6.5,5
Japan,-0.1,0.5,1,0.5,0,-0.2,2.5,3.2,2.9
Jordan,-0.6,3.6,4.5,0.7,0.4,1.3,4.2,2.7,2.6
Kazakhstan,14.6,7.4,6,5.2,6.8,8,15,15,9
Kenya,6.3,8,4.7,5.2,5.3,6.1,7.6,7.7,6.6
Kiribati,1.9,0.4,0.6,-1.8,2.6,2.1,5.3,9,3.5
"Korea, Republic of",1,1.9,1.5,0.4,0.5,2.5,5.1,3.4,2.3
Kosovo,0.2,1.5,1.1,2.7,0.2,3.3,11.7,4.7,3.1
Kuwait,2.9,1.6,0.6,1.1,2.1,3.4,4,3.4,3.1
Kyrgyz Republic,0.4,3.2,1.5,1.1,6.3,11.9,13.9,11.7,8.6
Lao P.D.R.,1.6,0.8,2,3.3,5.1,3.8,23,28.1,9
Latvia,0.1,2.9,2.6,2.7,0.1,3.2,17.2,9.9,4.2
Lebanon,-0.8,4.5,6.1,2.9,84.9,154.8,171.2,,
Lesotho,6.6,4.4,4.8,5.2,5,6,8.2,6.9,5.6
Liberia,8.8,12.4,23.5,27,17,7.8,7.6,10.6,8
Libya,25.9,25.9,14,-2.9,1.5,2.9,4.5,3.4,2.9
Lithuania,0.7,3.7,2.5,2.2,1.1,4.6,18.9,9.3,3.9
Luxembourg,0,2.1,2,1.7,0,3.5,8.1,3.2,3.3
Macao SAR,2.4,1.2,3,2.8,0.8,0,1,0.9,1.7
Madagascar,6.1,8.6,8.6,5.6,4.2,5.8,8.2,10.5,8.8
Malawi,21.7,11.5,9.2,9.4,8.6,9.3,20.8,27.7,19.8
Malaysia,2.1,3.8,1,0.7,-1.1,2.5,3.4,2.9,2.7
Maldives,0.8,2.3,1.4,1.3,-1.6,0.2,2.6,3.5,2.8
Mali,-1.8,2.4,1.9,-3,0.5,3.8,9.7,5,2.8
Malta,0.9,1.3,1.7,1.5,0.8,0.7,6.1,5.8,3.1
